,consent,skate_stance,ollie_foot,bowl_foot,downhill_foot,snowboard_foot,surf_foot,friends_share_stance,parents_share_stance,fav_skater_share_stance,changed_stance,stance_awareness,consistent_stance,hand_write,hand_throw,hand_hammer,foot_kick,foot_sweep,foot_pedal,foot_chair,eye_test1,eye_test2,years_skate,freq_skate,expertise,gender,race,age,ethnicity,residence_locality,home_locality,SS,HS,FS,ES
0,1,10.0,10.0,10.0,10.0,10.0,10.0,0.0,-5.0,0.0,-5.0,0.0,5.0,10.0,10.0,10.0,10.0,0.0,10.0,5.0,10.0,10.0,5.0,0,6.0,0,6,0,1,4,4,10.0,10.0,8.333333333333334,10.0
1,1,10.0,10.0,10.0,10.0,10.0,10.0,-5.0,5.0,5.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,-5.0,10.0,0.0,-10.0,5.0,11.0,0,8.0,0,6,0,1,4,4,10.0,10.0,6.666666666666667,-2.5
2,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,5.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,-5.0,-10.0,-5.0,10.0,5.0,20.0,0,8.0,0,3,1,1,4,4,-10.0,10.0,-1.6666666666666667,7.5
3,1,10.0,10.0,10.0,10.0,10.0,10.0,-5.0,-5.0,0.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,5.0,5.0,5,6.0,0,6,1,2,4,4,10.0,10.0,3.3333333333333335,7.5
4,1,10.0,10.0,5.0,5.0,10.0,5.0,-5.0,5.0,0.0,-5.0,0.0,5.0,10.0,-5.0,10.0,10.0,5.0,10.0,5.0,-10.0,0.0,3.0,0,4.0,0,6,0,1,4,4,7.5,5.0,8.333333333333334,-5.0
5,1,10.0,10.0,10.0,10.0,10.0,10.0,0.0,-5.0,5.0,-5.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,-10.0,5.0,5,6.0,0,6,0,1,4,4,10.0,10.0,10.0,0.0
6,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-5.0,0.0,-5.0,-5.0,5.0,5.0,10.0,10.0,10.0,10.0,-5.0,5.0,0.0,10.0,10.0,11.0,0,8.0,0,6,1,1,4,4,-10.0,10.0,5.0,10.0
7,1,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,5.0,-10.0,5.0,10.0,10.0,10.0,10.0,10.0,-5.0,-5.0,5.0,-10.0,0.0,20.0,5,6.0,0,6,4,1,3,3,10.0,10.0,3.3333333333333335,-5.0
8,1,10.0,10.0,10.0,10.0,-5.0,10.0,-5.0,5.0,5.0,-10.0,5.0,-5.0,10.0,10.0,10.0,10.0,-5.0,10.0,5.0,10.0,-5.0,5.0,2,4.0,0,6,3,1,4,4,10.0,10.0,8.333333333333334,2.5
9,1,10.0,10.0,10.0,10.0,0.0,10.0,-5.0,10.0,-5.0,-10.0,10.0,5.0,10.0,10.0,10.0,10.0,-5.0,5.0,10.0,-10.0,10.0,20.0,5,6.0,0,6,2,1,4,4,10.0,10.0,8.333333333333334,0.0
10,1,-10.0,-5.0,-5.0,-10.0,-5.0,-5.0,0.0,5.0,5.0,-5.0,-5.0,5.0,10.0,10.0,10.0,5.0,-5.0,5.0,0.0,10.0,0.0,11.0,2,6.0,0,6,2,0,4,4,-7.5,10.0,3.3333333333333335,5.0
11,1,10.0,10.0,10.0,10.0,10.0,10.0,-5.0,5.0,10.0,-10.0,-10.0,10.0,10.0,10.0,10.0,10.0,-10.0,10.0,10.0,0.0,0.0,5.0,5,6.0,0,6,1,1,4,4,10.0,10.0,10.0,0.0
12,1,10.0,0.0,5.0,5.0,5.0,10.0,5.0,10.0,0.0,-5.0,0.0,10.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5,6.0,0,6,3,1,3,3,5.0,3.3333333333333335,1.6666666666666667,0.0
