ID,Start time,Completion time,Email,Name,Last modified time,Question,Please select the appropriate consent statement below.,How do you usually ride your skateboard?,"With which foot forward do you do your highest ollies on a skateboard?
","When you skate an obstacle with transition like a bowl or a half-pipe, which foot forward feels most comfortable?
",What foot forward do you feel the most safe riding fast down a hill on a skateboard?,"When you snowboard, which foot forward do you feel most comfortable carving down the mountain with?
","When you surf, which foot forward do you feel most comfortable when you ride a wave?
",Almost all of my friends (more than 90%) share my same stance.,"One or more of my parents share my same stance when they skateboard, snowboard, and/or surf.
","My favorite skateboarder has the same stance as me.
","I started skateboarding with a different stance than the one I have now.
","In recent memory, I recall seeing skateboarding magazine ads or online posts in skate-
boarding, and I have tried to figure out what stance they are.","I have the same stance whether I skate any obstacle, snowboard any hill, or surf any wave.","Usually, when you write with a pen or pencil, which hand do you use?","Usually, when you throw a ball, which hand do you use?
","Which hand do you feel more control when swinging a hammer?
","Usually, when you kick a ball into a goal, which foot do you use?
","Usually, when you sweep a floor from the side, which foot seems more naturally in front?
","If you were to step on a guitar pedal, which foot would you use?
","To stand on a chair, which foot do you use to get up on the chair?
",Take a moment to test your preferred eye. 1) Stretch your arms out in front of you and 2) with your hands make an O shaped hole and 3) line up the O shaped hole to frame an object. Which eye do yo...,Take a moment to pinpoint an object in the distance and align your thumb over it. Which eye do you need to close to do so?,How many years have you been skateboarding,"In the last few years, how often do you skateboard?",What would your say your skateboarding expertise level is?,Gender:,Race (Mark ONLY one with which you MOST CLOSELY identify),Age,Ethnicity (Mark ONLY one with which you MOST CLOSELY identify):,Residence Locality (Mark ONLY one with which you CURRENTLY live),Identity Locality (Mark ONLY one with which you IDENTIFY as your home locality)
8,2/29/24 18:20:42,2/29/24 18:26:38,anonymous,,,2/29/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Strongly disagree,I do not know,Disagree,Disagree,Agree,Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Always Right    ,Mostly Left    ,Right    ,Mostly Right    ,11-20 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
9,3/1/24 21:54:21,3/1/24 21:59:01,anonymous,,,3/1/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Mostly Left    ,Always  Left,Mostly Left    ,I do not surf enough to know,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Mostly Left    ,Mostly Right    ,Left    ,Mostly Right    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
10,3/4/24 18:45:44,3/4/24 18:51:31,anonymous,,,3/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Disagree,I do not know,Disagree,Strongly disagree,Disagree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Always Right    ,Always Right    ,Mostly Right    ,Left    ,Both Equally    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,46-55,Hispanic or Latino,North America;,North America;
11,3/4/24 20:01:47,3/4/24 20:08:23,anonymous,,,3/4/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Disagree,I do not know,I do not know the stance of my favorite skateboarder,Disagree,Disagree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,Always Right    ,Left    ,Mostly Left    ,5-10 years,Weekly,Expert (I can consistently land complex tricks),Man,White,20 and under,Not Hispanic or Latino,North America;,North America;
12,3/22/24 19:14:16,3/22/24 19:18:45,anonymous,,,3/22/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,I do not snowboard enough to know,I do not surf enough to know,Strongly disagree,I do not know,Strongly Agree,Strongly disagree,Strongly disagree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Mostly Right    ,Both Equally    ,Left    ,Always  Left,20+ years,Every other week,Advanced (I can occasionally land complex tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
13,5/2/24 15:30:24,5/2/24 15:33:08,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Mostly Left    ,I do not surf enough to know,Neutral,I do not know,I do not know the stance of my favorite skateboarder,Disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Both Equally    ,Always Right    ,Right    ,Mostly Left    ,20+ years,Weekly,Intermediate (I can occasionally land simple tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
14,5/2/24 15:31:37,5/2/24 15:36:42,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Both Equally    ,Mostly Left    ,Always  Left,I do not surf enough to know,Strongly disagree,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Neutral,Strongly Agree,Always  Left,Always Right    ,Mostly Right    ,Mostly Left    ,Mostly Left    ,Mostly Left    ,Both Equally    ,Left    ,Always  Left,20+ years,Weekly,Sponsored/Pro (I regularly receive skateboard products for free from companies),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
15,5/2/24 15:33:59,5/2/24 15:37:51,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Strongly disagree,I do not know,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Mostly Right    ,Mostly Left    ,Right    ,Mostly Right    ,20+ years,Weekly,Expert (I can consistently land complex tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
16,5/2/24 15:35:52,5/2/24 15:41:09,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Mostly Left    ,Always  Left,I do not snowboard enough to know,Always  Left,Strongly disagree,I do not know,Agree,Strongly disagree,Neutral,Agree,Always  Left,Always  Left,Always  Left,Mostly Left    ,Always Right    ,Mostly Right    ,Mostly Right    ,Right    ,Always Right    ,11-20 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
17,5/2/24 15:31:06,5/2/24 15:41:32,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Mostly Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,I do not surf enough to know,Disagree,I do not know,,,,,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Both Equally    ,,Always Right    ,Right    ,Always  Left,20+ years,Monthly,Advanced (I can occasionally land complex tricks),Man,White,36-45,Unknown or not reported,Europe;,Europe;
