skate_stance,ollie_foot,bowl_foot,downhill_foot,snowboard_foot,surf_foot,friends_share_stance,parents_share_stance,fav_skater_share_stance,changed_stance,stance_awareness,consistent_stance,hand_write,hand_throw,hand_hammer,foot_kick,foot_sweep,foot_pedal,foot_chair,eye_test1,eye_test2,years_skate,freq_skate,expertise,gender,race,age,ethnicity,residence_locality,home_locality
-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,,-5.0,-5.0,5.0,5.0,10,10,10.0,5,-5,10.0,-5.0,10.0,-5.0,11.0,Weekly,6,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
-10.0,-10.0,-5.0,-10.0,-5.0,,-5.0,5.0,-5.0,-5.0,5.0,10.0,10,10,10.0,10,-5,-5.0,5.0,-10.0,-5.0,20.0,Weekly,6,Man,White,46-55,Not Hispanic or Latino,North America;,North America;
10.0,10.0,10.0,10.0,10.0,10.0,-5.0,,-5.0,-10.0,-5.0,10.0,10,10,10.0,5,10,10.0,5.0,-10.0,0.0,20.0,Weekly,6,Man,White,46-55,Hispanic or Latino,North America;,North America;
10.0,10.0,10.0,10.0,10.0,10.0,-5.0,,,-5.0,-5.0,10.0,10,10,10.0,5,10,5.0,10.0,-10.0,5.0,5.0,Weekly,8,Man,White,20 and under,Not Hispanic or Latino,North America;,North America;
-10.0,-10.0,-10.0,-10.0,,,-10.0,,10.0,-10.0,-10.0,10.0,10,10,10.0,10,-5,5.0,0.0,-10.0,10.0,20.0,Every other week,6,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
-10.0,-10.0,-10.0,-10.0,-5.0,,0.0,,,-5.0,10.0,10.0,10,10,10.0,5,5,0.0,10.0,10.0,5.0,20.0,Weekly,4,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
-10.0,-10.0,0.0,-5.0,-10.0,,-10.0,,,-10.0,0.0,10.0,-10,10,5.0,-5,-5,-5.0,0.0,-10.0,10.0,20.0,Weekly,10,Man,White,46-55,Not Hispanic or Latino,North America;,North America;
-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,,5.0,-10.0,10.0,10.0,10,10,10.0,10,-5,5.0,-5.0,10.0,-5.0,20.0,Weekly,8,Man,White,46-55,Not Hispanic or Latino,North America;,North America;
-10.0,-10.0,-5.0,-10.0,,-10.0,-10.0,,5.0,-10.0,0.0,5.0,-10,-10,-10.0,-5,10,5.0,5.0,10.0,-10.0,11.0,Weekly,6,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
10.0,5.0,5.0,10.0,5.0,,-5.0,,,,,,10,10,10.0,5,0,,10.0,10.0,10.0,20.0,Monthly,6,Man,White,36-45,Unknown or not reported,Europe;,Europe;
10.0,10.0,10.0,10.0,10.0,10.0,-5.0,,0.0,-10.0,5.0,10.0,10,10,10.0,5,0,5.0,5.0,10.0,-5.0,20.0,Monthly,4,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
-10.0,-10.0,-10.0,-10.0,,-10.0,,,,-10.0,5.0,10.0,10,10,5.0,5,0,-5.0,-5.0,10.0,-10.0,20.0,Seasonal (summer),4,Man,White,46-55,Not Hispanic or Latino,North America;,North America;
10.0,10.0,10.0,10.0,10.0,5.0,-5.0,,-5.0,-10.0,-5.0,10.0,10,10,10.0,10,5,10.0,-5.0,10.0,10.0,20.0,Weekly,4,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
-10.0,-5.0,-10.0,-10.0,-10.0,,-10.0,,-10.0,-10.0,-5.0,5.0,10,10,10.0,10,-5,-5.0,-5.0,-10.0,10.0,20.0,Weekly,6,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
-10.0,-5.0,5.0,-10.0,0.0,,0.0,,5.0,-5.0,10.0,0.0,10,-10,10.0,10,10,10.0,5.0,-10.0,0.0,5.0,Monthly,6,Man,White,21-25,Not Hispanic or Latino,North America;,North America;
-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-5.0,,-5.0,-5.0,5.0,10.0,10,10,10.0,10,-5,5.0,-5.0,-10.0,10.0,20.0,Weekly,8,Man,White,26-35,Hispanic or Latino,North America;,North America;
-10.0,-10.0,-10.0,-10.0,-5.0,-10.0,-5.0,,,-5.0,5.0,5.0,-5,10,-10.0,10,-5,-5.0,10.0,-10.0,-10.0,11.0,Every other week,4,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
-10.0,-10.0,-10.0,-10.0,-10.0,,5.0,,5.0,-10.0,10.0,5.0,10,10,5.0,5,-10,5.0,-5.0,10.0,0.0,5.0,Weekly,6,Man,White,21-25,Not Hispanic or Latino,North America;,North America;
10.0,10.0,10.0,10.0,10.0,10.0,0.0,-5.0,0.0,-5.0,0.0,5.0,10,10,10.0,10,0,10.0,5.0,10.0,10.0,5.0,Daily,6,Man,White,20 and under,Not Hispanic or Latino,North America;,North America;
10.0,10.0,10.0,10.0,,,-5.0,,10.0,-10.0,10.0,0.0,10,5,10.0,5,5,5.0,5.0,10.0,-5.0,11.0,Weekly,6,Man,White,26-35,Hispanic or Latino,North America;,North America;
-10.0,-5.0,-10.0,-10.0,-5.0,-10.0,-10.0,,-5.0,-10.0,-5.0,10.0,-10,-10,-10.0,-10,-10,-5.0,-5.0,-10.0,-10.0,11.0,Weekly,6,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
10.0,10.0,10.0,10.0,10.0,,0.0,,0.0,-10.0,10.0,10.0,10,10,10.0,5,5,5.0,5.0,10.0,-5.0,5.0,Seasonal (summer),4,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
-10.0,-10.0,-5.0,-10.0,5.0,,0.0,,0.0,5.0,10.0,5.0,10,5,10.0,0,0,5.0,0.0,10.0,0.0,20.0,Monthly,6,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
10.0,10.0,10.0,10.0,10.0,10.0,-5.0,5.0,5.0,-10.0,10.0,10.0,10,10,10.0,10,-5,10.0,0.0,-10.0,5.0,11.0,Daily,8,Man,White,20 and under,Not Hispanic or Latino,North America;,North America;
10.0,0.0,5.0,10.0,5.0,,-10.0,,,-10.0,0.0,-5.0,10,10,10.0,10,5,10.0,10.0,10.0,-10.0,20.0,Seasonal (summer),4,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,5.0,-10.0,10.0,10.0,10,10,10.0,10,-5,-10.0,-5.0,10.0,5.0,20.0,Daily,8,Man,More than one race,21-25,Not Hispanic or Latino,North America;,North America;
