consent,skate_stance,ollie_foot,bowl_foot,downhill_foot,snowboard_foot,surf_foot,friends_share_stance,parents_share_stance,fav_skater_share_stance,changed_stance,stance_awareness,consistent_stance,hand_write,hand_throw,hand_hammer,foot_kick,foot_sweep,foot_pedal,foot_chair,eye_test1,eye_test2,years_skate,freq_skate,expertise,gender,race,age,ethnicity,residence_locality,home_locality
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Always Left,Always Left,Strongly disagree,I do not know,Disagree,Disagree,Agree,Agree,Always Right,Always Right,Always Right,Mostly Right,Mostly Left,Always Right,Mostly Left,Right,Mostly Right,11.0,Weekly,Advanced,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Mostly Left,Always Left,Mostly Left,,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Mostly Left,Mostly Left,Mostly Right,Left,Mostly Right,20.0,Weekly,Advanced,Man,White,46-55,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Always Right,Always Right,Disagree,I do not know,Disagree,Strongly disagree,Disagree,Strongly Agree,Always Right,Always Right,Always Right,Mostly Right,Always Right,Always Right,Mostly Right,Left,Both Equally,20.0,Weekly,Advanced,Man,White,46-55,Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Always Right,Always Right,Disagree,I do not know,I do not know the stance of my favorite skateboarder,Disagree,Disagree,Strongly Agree,Always Right,Always Right,Always Right,Mostly Right,Always Right,Mostly Right,Always Right,Left,Mostly Left,5.0,Weekly,Expert,Man,White,20 and under,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,,,Strongly disagree,I do not know,Strongly Agree,Strongly disagree,Strongly disagree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Mostly Left,Mostly Right,Both Equally,Left,Always Left,20.0,Every other week,Advanced,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Mostly Left,,Neutral,I do not know,I do not know the stance of my favorite skateboarder,Disagree,Strongly Agree,Strongly Agree,Always Right,Always Right,Always Right,Mostly Right,Mostly Right,Both Equally,Always Right,Right,Mostly Left,20.0,Weekly,Intermediate,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Both Equally,Mostly Left,Always Left,,Strongly disagree,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Neutral,Strongly Agree,Always Left,Always Right,Mostly Right,Mostly Left,Mostly Left,Mostly Left,Both Equally,Left,Always Left,20.0,Weekly,Sponsored/Pro,Man,White,46-55,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Always Left,Always Left,Strongly disagree,I do not know,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Mostly Left,Mostly Right,Mostly Left,Right,Mostly Right,20.0,Weekly,Expert,Man,White,46-55,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Mostly Left,Always Left,,Always Left,Strongly disagree,I do not know,Agree,Strongly disagree,Neutral,Agree,Always Left,Always Left,Always Left,Mostly Left,Always Right,Mostly Right,Mostly Right,Right,Always Right,11.0,Weekly,Advanced,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Mostly Right,Mostly Right,Always Right,Mostly Right,,Disagree,I do not know,,,,,Always Right,Always Right,Always Right,Mostly Right,Both Equally,,Always Right,Right,Always Left,20.0,Monthly,Advanced,Man,White,36-45,Unknown or not reported,Europe;,Europe;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Both,Always Left,Mostly Right,Mostly Right,Mostly Left,,Neutral,I do not know,I do not know the stance of my favorite skateboarder,Agree,Disagree,Neutral,Always Left,Always Left,Always Left,Always Right,Both Equally,Both Equally,Mostly Left,Right,Mostly Left,11.0,Monthly,Advanced,Man,White,26-35,Not Hispanic or Latino,Europe;,Europe;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Always Right,Always Right,Disagree,I do not know,Neutral,Strongly disagree,Agree,Strongly Agree,Always Right,Always Right,Always Right,Mostly Right,Both Equally,Mostly Right,Mostly Right,Right,Mostly Right,20.0,Monthly,Intermediate,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,,Always Left,I do not do these activities enough to know,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Agree,Strongly Agree,Always Right,Always Right,Mostly Right,Mostly Right,Both Equally,Mostly Left,Mostly Left,Right,Always Right,20.0,Seasonal (summer),Intermediate,Man,White,46-55,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Always Right,Mostly Right,Disagree,I do not know,Disagree,Strongly disagree,Disagree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Mostly Right,Always Right,Mostly Left,Right,Always Left,20.0,Weekly,Intermediate,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Mostly Left,Always Left,Always Left,Always Left,,Strongly disagree,I do not know,Strongly disagree,Strongly disagree,Disagree,Agree,Always Right,Always Right,Always Right,Always Right,Mostly Left,Mostly Left,Mostly Left,Left,Always Left,20.0,Weekly,Advanced,Man,White,36-45,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Mostly Left,Mostly Right,Always Left,Both Equally,,Neutral,I do not know,Agree,Disagree,Strongly Agree,Neutral,Always Right,Always Left,Always Right,Always Right,Always Right,Always Right,Mostly Right,Left,Both Equally,5.0,Monthly,Advanced,Man,White,21-25,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Always Left,Always Left,Disagree,I do not know,Disagree,Disagree,Agree,Strongly Agree,Always Right,Always Right,Always Right,Always Right,Mostly Left,Mostly Right,Mostly Left,Left,Always Left,20.0,Weekly,Expert,Man,White,26-35,Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Mostly Left,Always Left,Disagree,I do not know,I do not know the stance of my favorite skateboarder,Disagree,Agree,Agree,Mostly Left,Always Right,Always Left,Always Right,Mostly Left,Mostly Left,Always Right,Left,Always Right,11.0,Every other week,Intermediate,Man,White,26-35,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Regular,Always Left,Always Left,Always Left,Always Left,,Agree,I do not know,Agree,Strongly disagree,Strongly Agree,Agree,Always Right,Always Right,Mostly Right,Mostly Right,Always Left,Mostly Right,Mostly Left,Right,Both Equally,5.0,Weekly,Advanced,Man,White,21-25,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,Always Right,Always Right,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Always Right,Always Right,Always Right,Always Right,Both Equally,Always Right,Mostly Right,Right,Always Left,5.0,Daily,Advanced,Man,White,20 and under,Not Hispanic or Latino,North America;,North America;
I understand the study described above. I am 18 years of age or older and I agree to participate.,Goofy,Always Right,Always Right,Always Right,,,Disagree,I do not know,Strongly Agree,Strongly disagree,Strongly Agree,Neutral,Always Right,Mostly Right,Always Right,Mostly Right,Mostly Right,Mostly Right,Mostly Right,Right,Mostly Right,11.0,Weekly,Advanced,Man,White,26-35,Hispanic or Latino,North America;,North America;
